discord_uuid,discord_name,riot_id,tracker,pr,team
985568577572716574,coolerchill,Coolerchill#chill,https://tracker.gg/valorant/profile/riot/Coolerchill%23cool/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Misfits
921945792082743317,sussybro,Solace#here,https://tracker.gg/valorant/profile/riot/Solace%23here/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Misfits
910289759966990337,imhiru9702,Hiru#おばけ,https://tracker.gg/valorant/profile/riot/Hiru%23%E3%81%8A%E3%81%B0%E3%81%91/performance?playlist=competitive&platform=pc,4,Misfits
711754060302123079,pigeonwithsniper,Pigeonwithsniper#IRON1,https://tracker.gg/valorant/profile/riot/Pigeonwithsniper%23IRON1/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,THE FLAWK
1223886384608051200,uh.oh.spaghettio_75725,cultr1de#zen,https://tracker.gg/valorant/profile/riot/cultr1de%23zen/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,THE FLAWK
289867211252695041,syno_ow,Syno#eevee,https://tracker.gg/valorant/profile/riot/Syno%23eevee/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,THE FLAWK
668030246942933022,nick305x,Moss#nick,https://tracker.gg/valorant/profile/riot/Moss%23nick/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,THE FLAWK
341046353977147392,icyhotloser,Shoto#IcyHo,https://tracker.gg/valorant/profile/riot/Shoto%23IcyHo/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,THE FLAWK
670074989063438336,k1ng_razorr,envy#S2000,https://tracker.gg/valorant/profile/riot/envy%23S2000/overview?playlist=premier&platform=pc,4,Team Avatar
728907734803808306,milan1738,aang#I738,https://tracker.gg/valorant/profile/riot/aang%23I738/overview?playlist=premier&platform=pc,1,Team Avatar
992180488276033538,gaming_asian,zuko#Asian,https://tracker.gg/valorant/profile/riot/zuko%23Asian/overview?playlist=premier&platform=pc,3,Team Avatar
934991152975863848,map_122,sokka#Asian,https://tracker.gg/valorant/profile/riot/sokka%23Asian/overview?playlist=premier&platform=pc,3,Team Avatar
1073401054974185593,_sirsai,saiki k#caffe,https://tracker.gg/valorant/profile/riot/saiki%20k%23caffe/overview?playlist=competitive&platform=pc&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Team Avatar
676487579176140855,psi_pkchu,Pkchu#7965,https://tracker.gg/valorant/profile/riot/pkchu%237965/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,NEW GENS 2.0
